model,accuracy,f1,precision,recall,prediction_time
MLPClassifier,0.9685396825396825,0.9685363085065699,0.9685701906968199,0.9685396825396825,0.05909371376037598
KNeighborsClassifier,0.9538730158730159,0.9537819208609465,0.9537939110854441,0.9538730158730159,6.966182231903076
RandomForestClassifier,0.9227777777777778,0.9225681305393393,0.9227821994455644,0.9227777777777778,0.08835077285766602
LogisticRegression,0.9143174603174603,0.9141644160723676,0.9141437485030393,0.9143174603174603,0.012388229370117188
QuadraticDiscriminantAnalysis,0.8501269841269842,0.8521523147890143,0.8756524892109856,0.8501269841269842,0.491579532623291
DecisionTreeClassifier,0.8197936507936507,0.819767156345922,0.8199007641723894,0.8197936507936507,0.015854835510253906
GaussianNB,0.5671904761904761,0.5464209163990401,0.6377167978706894,0.5671904761904761,0.28740572929382324
